procID,event_type,cs_clock,real_clock,human_date,anomaly
68,ACCESS,377,1688295861,2023-07-02 11:04:21,False
68,LEAVE,378,1688295864,2023-07-02 11:04:24,False
59,ACCESS,379,1688295866,2023-07-02 11:04:26,False
59,LEAVE,380,1688295869,2023-07-02 11:04:29,False
88,ACCESS,381,1688295870,2023-07-02 11:04:30,False
88,LEAVE,382,1688295873,2023-07-02 11:04:33,False
27,ACCESS,383,1688295875,2023-07-02 11:04:35,False
27,LEAVE,384,1688295878,2023-07-02 11:04:38,False
42,ACCESS,385,1688295880,2023-07-02 11:04:40,False
42,LEAVE,386,1688295883,2023-07-02 11:04:43,False
83,ACCESS,387,1688295885,2023-07-02 11:04:45,False
83,LEAVE,388,1688295888,2023-07-02 11:04:48,False
44,ACCESS,389,1688295889,2023-07-02 11:04:49,False
44,LEAVE,390,1688295892,2023-07-02 11:04:52,False
15,ACCESS,391,1688295894,2023-07-02 11:04:54,False
15,LEAVE,392,1688295897,2023-07-02 11:04:57,False
78,ACCESS,393,1688295899,2023-07-02 11:04:59,False
78,LEAVE,394,1688295902,2023-07-02 11:05:02,False
97,ACCESS,395,1688295903,2023-07-02 11:05:03,False
97,LEAVE,396,1688295906,2023-07-02 11:05:06,False
67,ACCESS,397,1688295907,2023-07-02 11:05:07,False
67,LEAVE,398,1688295910,2023-07-02 11:05:10,False
91,ACCESS,399,1688295911,2023-07-02 11:05:11,False
91,LEAVE,400,1688295914,2023-07-02 11:05:14,False
17,ACCESS,401,1688295917,2023-07-02 11:05:17,False
17,LEAVE,402,1688295920,2023-07-02 11:05:20,False
93,ACCESS,403,1688295922,2023-07-02 11:05:22,False
93,LEAVE,404,1688295925,2023-07-02 11:05:25,False
7,ACCESS,405,1688295926,2023-07-02 11:05:26,False
7,LEAVE,406,1688295930,2023-07-02 11:05:30,False
98,ACCESS,407,1688295931,2023-07-02 11:05:31,False
98,LEAVE,408,1688295934,2023-07-02 11:05:34,False
64,ACCESS,409,1688295936,2023-07-02 11:05:36,False
64,LEAVE,410,1688295939,2023-07-02 11:05:39,False
84,ACCESS,411,1688295941,2023-07-02 11:05:41,False
84,LEAVE,412,1688295944,2023-07-02 11:05:44,False
86,ACCESS,413,1688295946,2023-07-02 11:05:46,False
86,LEAVE,414,1688295949,2023-07-02 11:05:49,False
25,ACCESS,415,1688295950,2023-07-02 11:05:50,False
25,LEAVE,416,1688295953,2023-07-02 11:05:53,False
21,ACCESS,417,1688295955,2023-07-02 11:05:55,False
21,LEAVE,418,1688295958,2023-07-02 11:05:58,False
20,ACCESS,419,1688295960,2023-07-02 11:06:00,False
20,LEAVE,420,1688295963,2023-07-02 11:06:03,False
53,ACCESS,421,1688295965,2023-07-02 11:06:05,False
53,LEAVE,422,1688295968,2023-07-02 11:06:08,False
56,ACCESS,423,1688295969,2023-07-02 11:06:09,False
56,LEAVE,424,1688295972,2023-07-02 11:06:12,False
3,ACCESS,425,1688295973,2023-07-02 11:06:13,False
3,LEAVE,426,1688295976,2023-07-02 11:06:16,False
14,ACCESS,427,1688295979,2023-07-02 11:06:19,False
14,LEAVE,428,1688295982,2023-07-02 11:06:22,False
75,ACCESS,429,1688295984,2023-07-02 11:06:24,False
75,LEAVE,430,1688295987,2023-07-02 11:06:27,False
40,ACCESS,431,1688295988,2023-07-02 11:06:28,False
40,LEAVE,432,1688295991,2023-07-02 11:06:31,False
57,ACCESS,433,1688295993,2023-07-02 11:06:33,False
57,LEAVE,434,1688295996,2023-07-02 11:06:36,False
18,ACCESS,435,1688295998,2023-07-02 11:06:38,False
18,LEAVE,436,1688296001,2023-07-02 11:06:41,False
33,ACCESS,437,1688296003,2023-07-02 11:06:43,False
33,LEAVE,438,1688296006,2023-07-02 11:06:46,False
52,ACCESS,439,1688296008,2023-07-02 11:06:48,False
52,LEAVE,440,1688296011,2023-07-02 11:06:51,False
92,ACCESS,441,1688296013,2023-07-02 11:06:53,False
92,LEAVE,442,1688296016,2023-07-02 11:06:56,False
41,ACCESS,443,1688296017,2023-07-02 11:06:57,False
41,LEAVE,444,1688296020,2023-07-02 11:07:00,False
,END,445,1688296021,2023-07-02 11:07:01,False
